RELEASE,DAY,MONTH,YEAR,TIME (HOUR),TIME (MINUTE),AM/PM,FOCAL REFERENCE CODE,OBSERVER 1,OBSERVER 2,WEATHER,TEMP,FOCAL ID,SEX,AGE,ESTRUS,FOCAL PERIOD,FOCAL MINUTE,BEHAVIOUR,BEHAVIOUR 2,ASSOCIATION,FOOD TYPE,FOOD Type 2,POSITION IN CANOPY,Position2,Position3,PLANT SPECIES,PLANT SPECIES SAT ON,G.P.S. Location,,NOteS,
pre,1,6,2015,6,49,AM,010101,NIKA,FLISS,S,W,PO,M,A,0,1,1,V,,,,,MC2,MC,2,,,,,,
pre,1,6,2015,6,50,AM,010101,NIKA,FLISS,S,W,PO,M,A,0,1,2,V,,,,,MC2,MC,2,,,,,,
pre,1,6,2015,6,51,AM,010101,NIKA,FLISS,S,W,PO,M,A,0,1,3,OS,,,,,,,,,,,,,
pre,1,6,2015,6,52,AM,010101,NIKA,FLISS,S,W,PO,M,A,0,1,4,V,,,,,MC2,MC,2,,,,,,
pre,1,6,2015,6,53,AM,010101,NIKA,FLISS,S,W,PO,M,A,0,1,5,V,,,,,TC2,TC,2,,,,,,
pre,1,6,2015,6,54,AM,010101,NIKA,FLISS,S,W,PO,M,A,0,1,6,V,,,,,TC2,TC,2,,,,,,
pre,1,6,2015,6,55,AM,010101,NIKA,FLISS,S,W,PO,M,A,0,1,7,V,,,,,TC2,TC,2,,,,,,
pre,1,6,2015,6,56,AM,010101,NIKA,FLISS,S,W,PO,M,A,0,1,8,V,,,,,TC2,TC,2,,,,,,
pre,1,6,2015,6,57,AM,010101,NIKA,FLISS,S,W,PO,M,A,0,1,9,V,,,,,TC2,TC,2,,,,,,
pre,1,6,2015,6,58,AM,010101,NIKA,FLISS,S,W,PO,M,A,0,1,10,V,,,,,TC2,TC,2,,,,,,
pre,1,6,2015,6,59,AM,010101,NIKA,FLISS,S,W,PO,M,A,0,1,11,SG,,,,,TC2,TC,2,,,,,,
pre,1,6,2015,7,0,AM,010101,NIKA,FLISS,S,W,PO,M,A,0,1,12,SG,,,,,TC2,TC,2,,,,,,
pre,1,6,2015,7,1,AM,010101,NIKA,FLISS,S,W,PO,M,A,0,1,13,V,,,,,TC2,TC,2,,,,,,
pre,1,6,2015,7,2,AM,010101,NIKA,FLISS,S,W,PO,M,A,0,1,14,L,,,,,TC2,TC,2,,,,,,
pre,1,6,2015,7,3,AM,010101,NIKA,FLISS,S,W,PO,M,A,0,1,15,V,,,,,TC2,TC,2,,,,,,
pre,1,6,2015,7,4,AM,010101,NIKA,FLISS,S,W,PO,M,A,0,1,16,V,,,,,MC2,MC,2,,,,,,
pre,1,6,2015,7,5,AM,010101,NIKA,FLISS,S,W,PO,M,A,0,1,17,V,,,,,MC2,MC,2,,,,,,
pre,1,6,2015,7,6,AM,010101,NIKA,FLISS,S,W,PO,M,A,0,1,18,V,,,,,MC2,MC,2,,,,,,
pre,1,6,2015,7,7,AM,010101,NIKA,FLISS,S,W,PO,M,A,0,1,19,V,,,,,MC2,MC,2,,,,,,
pre,1,6,2015,7,8,AM,010101,NIKA,FLISS,S,W,PO,M,A,0,1,20,SG,,,,,MC2,MC,2,,,,,,
pre,1,6,2015,7,16,AM,010102,NIKA,FLISS,S,W,AL,F,A,0,1,1,V,,,,,MC2,MC,2,,,,,,
pre,1,6,2015,7,17,AM,010102,NIKA,FLISS,S,W,AL,F,A,0,1,2,V,,,,,MC2,MC,2,,,,,,
pre,1,6,2015,7,18,AM,010102,NIKA,FLISS,S,W,AL,F,A,0,1,3,FO,,,,,MC2,MC,2,,,,,,
pre,1,6,2015,7,19,AM,010102,NIKA,FLISS,S,W,AL,F,A,0,1,4,V,,,,,MC2,MC,2,,,,,,
pre,1,6,2015,7,20,AM,010102,NIKA,FLISS,S,W,AL,F,A,0,1,5,V,,,,,MC2,MC,2,,,,,,
pre,1,6,2015,7,21,AM,010102,NIKA,FLISS,S,W,AL,F,A,0,1,6,OS,,,,,,,,,,,,,
pre,1,6,2015,7,22,AM,010102,NIKA,FLISS,S,W,AL,F,A,0,1,7,OS,,,,,,,,,,,,,
pre,1,6,2015,7,23,AM,010102,NIKA,FLISS,S,W,AL,F,A,0,1,8,OS,,,,,,,,,,,,,
pre,1,6,2015,7,24,AM,010102,NIKA,FLISS,S,W,AL,F,A,0,1,9,OS,,,,,,,,,,,,,
pre,1,6,2015,7,25,AM,010102,NIKA,FLISS,S,W,AL,F,A,0,1,10,OS,,,,,,,,,,,,,
pre,1,6,2015,7,26,AM,010102,NIKA,FLISS,S,W,AL,F,A,0,1,11,OS,,,,,,,,,,,,,
pre,1,6,2015,7,27,AM,010102,NIKA,FLISS,S,W,AL,F,A,0,1,12,L,,,,,TC1,TC,1,,,,,,
pre,1,6,2015,7,28,AM,010102,NIKA,FLISS,S,W,AL,F,A,0,1,13,OS,,,,,,,,,,,,,
pre,1,6,2015,7,29,AM,010102,NIKA,FLISS,S,W,AL,F,A,0,1,14,FE,,,BU,#REF!,TC1,TC,1,,,,,,
pre,1,6,2015,7,30,AM,010102,NIKA,FLISS,S,W,AL,F,A,0,1,15,FO,,,,,TC1,TC,1,,,,,,
pre,1,6,2015,7,31,AM,010102,NIKA,FLISS,S,W,AL,F,A,0,1,16,V,C,I,,,TC1,TC,1,,,,,SITTING IN PHYSICAL CONTACT WITH INFANT,
pre,1,6,2015,7,32,AM,010102,NIKA,FLISS,S,W,AL,F,A,0,1,17,FE,,,UK,#REF!,TC1,TC,1,,,,,,
pre,1,6,2015,7,33,AM,010102,NIKA,FLISS,S,W,AL,F,A,0,1,18,L,V,,,,TC1,TC,1,,,,,,
pre,1,6,2015,7,34,AM,010102,NIKA,FLISS,S,W,AL,F,A,0,1,19,FO,,,,,TC1,TC,1,,,,,,
pre,1,6,2015,7,35,AM,010102,NIKA,FLISS,S,W,AL,F,A,0,1,20,V,,,,,TC1,TC,1,,,,,,
pre,1,6,2015,7,47,AM,010103,NIKA,FLISS,S,W,NY,M,SA,0,1,1,FE,,,BU,#REF!,MC1,MC,1,,,,,,
pre,1,6,2015,7,48,AM,010103,NIKA,FLISS,S,W,NY,M,SA,0,1,2,L,,,,,MC1,MC,1,,,,,,
pre,1,6,2015,7,49,AM,010103,NIKA,FLISS,S,W,NY,M,SA,0,1,3,V,,,,,TC1,TC,1,,,,,,
pre,1,6,2015,7,50,AM,010103,NIKA,FLISS,S,W,NY,M,SA,0,1,4,FE,,,BU,#REF!,TC1,TC,1,,,,,,
pre,1,6,2015,7,51,AM,010103,NIKA,FLISS,S,W,NY,M,SA,0,1,5,V,,,,,TC1,TC,1,,,,,,
pre,1,6,2015,7,52,AM,010103,NIKA,FLISS,S,W,NY,M,SA,0,1,6,V,,,,,TC1,TC,1,,,,,,
pre,1,6,2015,7,53,AM,010103,NIKA,FLISS,S,W,NY,M,SA,0,1,7,V,,,,,TC1,TC,1,,,,,,
pre,1,6,2015,7,54,AM,010103,NIKA,FLISS,S,W,NY,M,SA,0,1,8,V,,,,,TC1,TC,1,,,,,,
pre,1,6,2015,7,55,AM,010103,NIKA,FLISS,S,W,NY,M,SA,0,1,9,V,,,,,MC1,MC,1,,,,,,
pre,1,6,2015,7,56,AM,010103,NIKA,FLISS,S,W,NY,M,SA,0,1,10,FE,,,TB,#REF!,MC1,MC,1,,,,,,
pre,1,6,2015,7,57,AM,010103,NIKA,FLISS,S,W,NY,M,SA,0,1,11,L,,,,,MC1,MC,1,,,,,,
pre,1,6,2015,7,58,AM,010103,NIKA,FLISS,S,W,NY,M,SA,0,1,12,V,,,,,MC1,MC,1,,,,,,
pre,1,6,2015,7,59,AM,010103,NIKA,FLISS,S,W,NY,M,SA,0,1,13,OS,,,,,,,,,,,,,
pre,1,6,2015,8,0,AM,010103,NIKA,FLISS,S,W,NY,M,SA,0,1,14,FO,,,,,MC1,MC,1,,,,,,
pre,1,6,2015,8,1,AM,010103,NIKA,FLISS,S,W,NY,M,SA,0,1,15,V,,,,,MC1,MC,1,,,,,,
pre,1,6,2015,8,2,AM,010103,NIKA,FLISS,S,W,NY,M,SA,0,1,16,V,,,,,MC1,MC,1,,,,,,
pre,1,6,2015,8,3,AM,010103,NIKA,FLISS,S,W,NY,M,SA,0,1,17,V,,,,,MC1,MC,1,,,,,,
pre,1,6,2015,8,4,AM,010103,NIKA,FLISS,S,W,NY,M,SA,0,1,18,V,,,,,MC1,MC,1,,,,,,
pre,1,6,2015,8,5,AM,010103,NIKA,FLISS,S,W,NY,M,SA,0,1,19,V,,,,,MC1,MC,1,,,,,,
pre,1,6,2015,8,6,AM,010103,NIKA,FLISS,S,W,NY,M,SA,0,1,20,V,,,,,MC1,MC,1,,,,,,
pre,1,6,2015,12,34,PM,010104,NIKA,FLISS,C,H,KO,F,J,0,3,1,L,,,,,G,G,G,,,,,,
pre,1,6,2015,12,35,PM,010104,NIKA,FLISS,C,H,KO,F,J,0,3,2,PL,,TI,,,G,G,G,,,,,,
pre,1,6,2015,12,36,PM,010104,NIKA,FLISS,C,H,KO,F,J,0,3,3,PL,,I,,,G,G,G,,,,,PLAYING WITH AN UNIDENTIFIED INFANT,
pre,1,6,2015,12,37,PM,010104,NIKA,FLISS,C,H,KO,F,J,0,3,4,PL,,I,,,LC1,LC,1,,,,,,
pre,1,6,2015,12,38,PM,010104,NIKA,FLISS,C,H,KO,F,J,0,3,5,PL,,I,,,LC1,LC,1,,,,,,
pre,1,6,2015,12,39,PM,010104,NIKA,FLISS,C,H,KO,F,J,0,3,6,PL,,I/NY,,,G,G,G,,,,,,
pre,1,6,2015,12,40,PM,010104,NIKA,FLISS,C,H,KO,F,J,0,3,7,PL,,UK,,,G,G,G,,,,,,
pre,1,6,2015,12,41,PM,010104,NIKA,FLISS,C,H,KO,F,J,0,3,8,PL,,I/I/NE,,,G,G,G,,,,,,
pre,1,6,2015,12,42,PM,010104,NIKA,FLISS,C,H,KO,F,J,0,3,9,OS,,,,,,,,,,,,,
pre,1,6,2015,12,43,PM,010104,NIKA,FLISS,C,H,KO,F,J,0,3,10,PL,,,,,G,G,G,,,,,,
pre,1,6,2015,12,44,PM,010104,NIKA,FLISS,C,H,KO,F,J,0,3,11,OS,,,,,,,,,,,,,
pre,1,6,2015,12,45,PM,010104,NIKA,FLISS,C,H,KO,F,J,0,3,12,OS,,,,,,,,,,,,,
pre,1,6,2015,12,46,PM,010104,NIKA,FLISS,C,H,KO,F,J,0,3,13,OS,,,,,,,,,,,,,
pre,1,6,2015,12,47,PM,010104,NIKA,FLISS,C,H,KO,F,J,0,3,14,OS,,,,,,,,,,,,,
pre,1,6,2015,12,48,PM,010104,NIKA,FLISS,C,H,KO,F,J,0,3,15,OS,,,,,,,,,,,,,
pre,1,6,2015,12,49,PM,010104,NIKA,FLISS,C,H,KO,F,J,0,3,16,OS,,,,,,,,,,,,,
pre,1,6,2015,12,50,PM,010104,NIKA,FLISS,C,H,KO,F,J,0,3,17,OS,,,,,,,,,,,,,
pre,1,6,2015,12,51,PM,010104,NIKA,FLISS,C,H,KO,F,J,0,3,18,OS,,,,,,,,,,,,,
pre,1,6,2015,12,52,PM,010104,NIKA,FLISS,C,H,KO,F,J,0,3,19,L,,,,,TC1,TC,1,,,,,,
pre,1,6,2015,12,53,PM,010104,NIKA,FLISS,C,H,KO,F,J,0,3,20,FE,,,,,G,G,G,,,,,,
pre,1,6,2015,1,32,PM,010105,NIKA,FLISS,S,H,MG,M,SA,0,3,1,FE,,,PF,#REF!,MC2,MC,2,,,,,,
pre,1,6,2015,1,33,PM,010105,NIKA,FLISS,S,H,MG,M,SA,0,3,2,V,,,,,MC2,MC,2,,,,,,
pre,1,6,2015,1,34,PM,010105,NIKA,FLISS,S,H,MG,M,SA,0,3,3,FE,,,PF,#REF!,MC2,MC,2,,,,,,
pre,1,6,2015,1,35,PM,010105,NIKA,FLISS,S,H,MG,M,SA,0,3,4,FE,V,,PF,#REF!,MC2,MC,2,,,,,,
pre,1,6,2015,1,36,PM,010105,NIKA,FLISS,S,H,MG,M,SA,0,3,5,V,,,,,MC2,MC,2,,,,,,
pre,1,6,2015,1,37,PM,010105,NIKA,FLISS,S,H,MG,M,SA,0,3,6,FE,,,PF,#REF!,MC2,MC,2,,,,,,
pre,1,6,2015,1,38,PM,010105,NIKA,FLISS,S,H,MG,M,SA,0,3,7,V,,,,,MC2,MC,2,,,,,,
pre,1,6,2015,1,39,PM,010105,NIKA,FLISS,S,H,MG,M,SA,0,3,8,FO,,,,,MC2,MC,2,,,,,,
pre,1,6,2015,1,40,PM,010105,NIKA,FLISS,S,H,MG,M,SA,0,3,9,V,,,,,MC2,MC,2,,,,,,
pre,1,6,2015,1,41,PM,010105,NIKA,FLISS,S,H,MG,M,SA,0,3,10,V,,,,,MC2,MC,2,,,,,,
pre,1,6,2015,1,42,PM,010105,NIKA,FLISS,S,H,MG,M,SA,0,3,11,V,,,,,MC2,MC,2,,,,,,
pre,1,6,2015,1,43,PM,010105,NIKA,FLISS,S,H,MG,M,SA,0,3,12,V,,,,,MC2,MC,2,,,,,,
pre,1,6,2015,1,44,PM,010105,NIKA,FLISS,S,H,MG,M,SA,0,3,13,V,,,,,MC2,MC,2,,,,,,
pre,1,6,2015,1,45,PM,010105,NIKA,FLISS,S,H,MG,M,SA,0,3,14,R,,,,,MC2,MC,2,,,,,,
pre,1,6,2015,1,46,PM,010105,NIKA,FLISS,S,H,MG,M,SA,0,3,15,R,,,,,MC2,MC,2,,,,,,
pre,1,6,2015,1,47,PM,010105,NIKA,FLISS,S,H,MG,M,SA,0,3,16,V,,,,,MC2,MC,2,,,,,,
pre,1,6,2015,1,48,PM,010105,NIKA,FLISS,S,H,MG,M,SA,0,3,17,V,,,,,MC2,MC,2,,,,,,
pre,1,6,2015,1,49,PM,010105,NIKA,FLISS,S,H,MG,M,SA,0,3,18,V,,,,,MC2,MC,2,,,,,,
pre,1,6,2015,1,50,PM,010105,NIKA,FLISS,S,H,MG,M,SA,0,3,19,OS,,,,,MC2,MC,2,,,,,,
pre,1,6,2015,1,51,PM,010105,NIKA,FLISS,S,H,MG,M,SA,0,3,20,OS,,,,,MC2,MC,2,,,,,,
pre,1,6,2015,2,4,PM,010106,NIKA,FLISS,C,H,ED,F,J,0,3,1,V,,,,,TC1,TC,1,,,,,,
pre,1,6,2015,2,5,PM,010106,NIKA,FLISS,C,H,ED,F,J,0,3,2,V,,,,,TC1,TC,1,,,,,,
pre,1,6,2015,2,6,PM,010106,NIKA,FLISS,C,H,ED,F,J,0,3,3,V,,,,,TC1,TC,1,,,,,,
pre,1,6,2015,2,7,PM,010106,NIKA,FLISS,C,H,ED,F,J,0,3,4,L,,,,,TC1,TC,1,,,,,,
pre,1,6,2015,2,8,PM,010106,NIKA,FLISS,C,H,ED,F,J,0,3,5,G-,,UK,,,MC1,MC,1,,,,,,
pre,1,6,2015,2,9,PM,010106,NIKA,FLISS,C,H,ED,F,J,0,3,6,V,C,UK,,,MC1,MC,1,,,,,,
pre,1,6,2015,2,10,PM,010106,NIKA,FLISS,C,H,ED,F,J,0,3,7,G-,,MA,,,MC1,MC,1,,,,,,
pre,1,6,2015,2,11,PM,010106,NIKA,FLISS,C,H,ED,F,J,0,3,8,G-,,MA,,,MC1,MC,1,,,,,,
pre,1,6,2015,2,12,PM,010106,NIKA,FLISS,C,H,ED,F,J,0,3,9,V,,,,,MC1,MC,1,,,,,,
pre,1,6,2015,2,13,PM,010106,NIKA,FLISS,C,H,ED,F,J,0,3,10,V,,,,,MC1,MC,1,,,,,,
pre,1,6,2015,2,14,PM,010106,NIKA,FLISS,C,H,ED,F,J,0,3,11,PL,,NE,,,MC1,MC,1,,,,,,
pre,1,6,2015,2,15,PM,010106,NIKA,FLISS,C,H,ED,F,J,0,3,12,V,,,,,TC1,TC,1,,,,,,
pre,1,6,2015,2,16,PM,010106,NIKA,FLISS,C,H,ED,F,J,0,3,13,L,,,,,TC1,TC,1,,,,,,
pre,1,6,2015,2,17,PM,010106,NIKA,FLISS,C,H,ED,F,J,0,3,14,V,,,,,MC1,MC,1,,,,,,
pre,1,6,2015,2,18,PM,010106,NIKA,FLISS,C,H,ED,F,J,0,3,15,V,,,,,LC1,LC,1,,,,,,
pre,1,6,2015,2,19,PM,010106,NIKA,FLISS,C,H,ED,F,J,0,3,16,L,,,,,LC1,LC,1,,,,,,
pre,1,6,2015,2,20,PM,010106,NIKA,FLISS,C,H,ED,F,J,0,3,17,V,,,,,G,G,G,,,,,,
pre,1,6,2015,2,21,PM,010106,NIKA,FLISS,C,H,ED,F,J,0,3,18,L,,,,,LC1,LC,1,,,,,,
pre,1,6,2015,2,22,PM,010106,NIKA,FLISS,C,H,ED,F,J,0,3,19,V,,,,,LC1,LC,1,,,,,,
pre,1,6,2015,2,23,PM,010106,NIKA,FLISS,C,H,ED,F,J,0,3,20,V,,,,,LC1,LC,1,,,,,,
pre,2,6,2015,6,15,AM,010201,NIKA,JESSE,S,C,ZI,M,A,0,1,1,V,,,,,TC2,TC,2,,,,,,
pre,2,6,2015,6,16,AM,010201,NIKA,JESSE,S,C,ZI,M,A,0,1,2,SG,,,,,TC2,TC,2,,,,,,
pre,2,6,2015,6,17,AM,010201,NIKA,JESSE,S,C,ZI,M,A,0,1,3,R,,,,,TC2,TC,2,,,,,,
pre,2,6,2015,6,18,AM,010201,NIKA,JESSE,S,C,ZI,M,A,0,1,4,R,,,,,TC2,TC,2,,,,,,
pre,2,6,2015,6,19,AM,010201,NIKA,JESSE,S,C,ZI,M,A,0,1,5,R,,,,,TC2,TC,2,,,,,,
pre,2,6,2015,6,20,AM,010201,NIKA,JESSE,S,C,ZI,M,A,0,1,6,V,,,,,TC2,TC,2,,,,,,
pre,2,6,2015,6,21,AM,010201,NIKA,JESSE,S,C,ZI,M,A,0,1,7,V,,,,,MC1,MC,1,,,,,,
pre,2,6,2015,6,22,AM,010201,NIKA,JESSE,S,C,ZI,M,A,0,1,8,V,,,,,MC1,MC,1,,,,,,
pre,2,6,2015,6,23,AM,010201,NIKA,JESSE,S,C,ZI,M,A,0,1,9,OS,,,,,,,,,,,,,
pre,2,6,2015,6,24,AM,010201,NIKA,JESSE,S,C,ZI,M,A,0,1,10,V,,,,,MC1,MC,1,,,,,,
pre,2,6,2015,6,25,AM,010201,NIKA,JESSE,S,C,ZI,M,A,0,1,11,V,,,,,TC2,TC,2,,,,,,
pre,2,6,2015,6,26,AM,010201,NIKA,JESSE,S,C,ZI,M,A,0,1,12,V,,,,,MC1,MC,1,,,,,,
pre,2,6,2015,6,27,AM,010201,NIKA,JESSE,S,C,ZI,M,A,0,1,13,V,,,,,TC2,TC,2,,,,,,
pre,2,6,2015,6,28,AM,010201,NIKA,JESSE,S,C,ZI,M,A,0,1,14,V,,,,,MC1,MC,1,,,,,,
pre,2,6,2015,6,29,AM,010201,NIKA,JESSE,S,C,ZI,M,A,0,1,15,V,,,,,MC1,MC,1,,,,,,
pre,2,6,2015,6,30,AM,010201,NIKA,JESSE,S,C,ZI,M,A,0,1,16,OS,,,,,,,,,,,,,
pre,2,6,2015,6,31,AM,010201,NIKA,JESSE,S,C,ZI,M,A,0,1,17,V,,,,,TC2,TC,2,,,,,,
pre,2,6,2015,6,32,AM,010201,NIKA,JESSE,S,C,ZI,M,A,0,1,18,V,,,,,TC2,TC,2,,,,,,
pre,2,6,2015,6,33,AM,010201,NIKA,JESSE,S,C,ZI,M,A,0,1,19,V,,,,,TC2,TC,2,,,,,,
pre,2,6,2015,6,34,AM,010201,NIKA,JESSE,S,C,ZI,M,A,0,1,20,V,,,,,TC2,TC,2,,,,,,
pre,2,6,2015,6,47,AM,010202,NIKA,JESSE,S,C,BL,F,A,0,1,1,L,,,,,TC1,TC,1,,,,,,
pre,2,6,2015,6,48,AM,010202,NIKA,JESSE,S,C,BL,F,A,0,1,2,V,C,I,,,TC1,TC,1,,,,,SITTING IN PHYSICAL CONTACT WITH UNIDENTIFIED INFANT,
pre,2,6,2015,6,49,AM,010202,NIKA,JESSE,S,C,BL,F,A,0,1,3,OS,,,,,,,,,,,,,
pre,2,6,2015,6,50,AM,010202,NIKA,JESSE,S,C,BL,F,A,0,1,4,OS,,,,,,,,,,,,,
pre,2,6,2015,6,51,AM,010202,NIKA,JESSE,S,C,BL,F,A,0,1,5,OS,,,,,,,,,,,,,
pre,2,6,2015,6,52,AM,010202,NIKA,JESSE,S,C,BL,F,A,0,1,6,FO,,,,,TC1,TC,1,,,,,,
pre,2,6,2015,6,53,AM,010202,NIKA,JESSE,S,C,BL,F,A,0,1,7,FO,,,,,TC1,TC,1,,,,,,
pre,2,6,2015,6,54,AM,010202,NIKA,JESSE,S,C,BL,F,A,0,1,8,FO,,,,,TC1,TC,1,,,,,,
pre,2,6,2015,6,55,AM,010202,NIKA,JESSE,S,C,BL,F,A,0,1,9,V,,,,,TC1,TC,1,,,,,,
pre,2,6,2015,6,56,AM,010202,NIKA,JESSE,S,C,BL,F,A,0,1,10,L,,,,,TC1,TC,1,,,,,,
pre,2,6,2015,6,57,AM,010202,NIKA,JESSE,S,C,BL,F,A,0,1,11,FO,,,,,TC1,TC,1,,,,,,
pre,2,6,2015,6,58,AM,010202,NIKA,JESSE,S,C,BL,F,A,0,1,12,OS,,,,,,,,,,,,,
pre,2,6,2015,6,59,AM,010202,NIKA,JESSE,S,C,BL,F,A,0,1,13,FO,,,,,TC1,TC,1,,,,,,
pre,2,6,2015,7,0,AM,010202,NIKA,JESSE,S,C,BL,F,A,0,1,14,V,,,,,TC1,TC,1,,,,,,
pre,2,6,2015,7,1,AM,010202,NIKA,JESSE,S,C,BL,F,A,0,1,15,V,,,,,TC1,TC,1,,,,,,
pre,2,6,2015,7,2,AM,010202,NIKA,JESSE,S,C,BL,F,A,0,1,16,V,C,KO,,,TC1,TC,1,,,,,,
pre,2,6,2015,7,3,AM,010202,NIKA,JESSE,S,C,BL,F,A,0,1,17,V,,,,,TC1,TC,1,,,,,,
pre,2,6,2015,7,4,AM,010202,NIKA,JESSE,S,C,BL,F,A,0,1,18,V,,,,,TC1,TC,1,,,,,,
pre,2,6,2015,7,5,AM,010202,NIKA,JESSE,S,C,BL,F,A,0,1,19,R,C,KO,,,TC1,TC,1,,,,,,
pre,2,6,2015,7,6,AM,010202,NIKA,JESSE,S,C,BL,F,A,0,1,20,R,C,KO,,,TC1,TC,1,,,,,,
pre,2,6,2015,7,8,AM,010203,NIKA,JESSE,S,C,BT,M,A,0,1,1,SG,,,,,MC1,MC,1,,,,,,
pre,2,6,2015,7,9,AM,010203,NIKA,JESSE,S,C,BT,M,A,0,1,2,SG,,,,,MC1,MC,1,,,,,,
pre,2,6,2015,7,10,AM,010203,NIKA,JESSE,S,C,BT,M,A,0,1,3,V,,,,,MC1,MC,1,,,,,,
pre,2,6,2015,7,11,AM,010203,NIKA,JESSE,S,C,BT,M,A,0,1,4,V,,,,,MC1,MC,1,,,,,,
pre,2,6,2015,7,12,AM,010203,NIKA,JESSE,S,C,BT,M,A,0,1,5,V,,,,,MC1,MC,1,,,,,,
pre,2,6,2015,7,13,AM,010203,NIKA,JESSE,S,C,BT,M,A,0,1,6,V,,,,,MC1,MC,1,,,,,,
pre,2,6,2015,7,14,AM,010203,NIKA,JESSE,S,C,BT,M,A,0,1,7,SG,,,,,MC1,MC,1,,,,,,
pre,2,6,2015,7,15,AM,010203,NIKA,JESSE,S,C,BT,M,A,0,1,8,SG,,,,,MC1,MC,1,,,,,,
pre,2,6,2015,7,16,AM,010203,NIKA,JESSE,S,C,BT,M,A,0,1,9,SG,,,,,MC1,MC,1,,,,,,
pre,2,6,2015,7,17,AM,010203,NIKA,JESSE,S,C,BT,M,A,0,1,10,V,,,,,MC1,MC,1,,,,,,
pre,2,6,2015,7,18,AM,010203,NIKA,JESSE,S,C,BT,M,A,0,1,11,V,,,,,MC1,MC,1,,,,,,
pre,2,6,2015,7,19,AM,010203,NIKA,JESSE,S,C,BT,M,A,0,1,12,TH+,,ZI,,,MC1,MC,1,,,,,,
pre,2,6,2015,7,20,AM,010203,NIKA,JESSE,S,C,BT,M,A,0,1,13,TH-,,ZI,,,MC1,MC,1,,,,,POPS AND BLUE BACKED UP ZIP DURING THE CONFLICT. BT JUMPED TO THE NEIGHBORING TREE,
pre,2,6,2015,7,21,AM,010203,NIKA,JESSE,S,C,BT,M,A,0,1,14,TH-,,ZI,,,MC1,MC,1,,,,,,
pre,2,6,2015,7,22,AM,010203,NIKA,JESSE,S,C,BT,M,A,0,1,15,V,,,,,TC1,TC,1,,,,,,
pre,2,6,2015,7,23,AM,010203,NIKA,JESSE,S,C,BT,M,A,0,1,16,V,,,,,TC1,TC,1,,,,,,
pre,2,6,2015,7,24,AM,010203,NIKA,JESSE,S,C,BT,M,A,0,1,17,V,,,,,TC1,TC,1,,,,,,
pre,2,6,2015,7,25,AM,010203,NIKA,JESSE,S,C,BT,M,A,0,1,18,SG,,,,,TC1,TC,1,,,,,PICKING AT HIS WOUND,
pre,2,6,2015,7,26,AM,010203,NIKA,JESSE,S,C,BT,M,A,0,1,19,V,,,,,TC1,TC,1,,,,,,
pre,2,6,2015,7,27,AM,010203,NIKA,JESSE,S,C,BT,M,A,0,1,20,V,,,,,TC1,TC,1,,,,,,
pre,2,6,2015,12,33,PM,010204,NIKA,FLISS,S,H,AL,F,A,0,1,1,G+,,MG,,,TC1,TC,1,,,,,PICKING AT HIS WOUND,
pre,2,6,2015,12,34,PM,010204,NIKA,FLISS,S,H,AL,F,A,0,1,2,G+,,MG,,,TC1,TC,1,,,,,,
pre,2,6,2015,12,35,PM,010204,NIKA,FLISS,S,H,AL,F,A,0,1,3,L,,,,,TC1,TC,1,,,,,,
pre,2,6,2015,12,36,PM,010204,NIKA,FLISS,S,H,AL,F,A,0,1,4,G-,,BL,,,TC1,TC,1,,,,,,
pre,2,6,2015,12,37,PM,010204,NIKA,FLISS,S,H,AL,F,A,0,1,5,G-,,BL,,,TC1,TC,1,,,,,,
pre,2,6,2015,12,38,PM,010204,NIKA,FLISS,S,H,AL,F,A,0,1,6,G-,,BL,,,TC1,TC,1,,,,,,
pre,2,6,2015,12,39,PM,010204,NIKA,FLISS,S,H,AL,F,A,0,1,7,G-,,BL,,,TC1,TC,1,,,,,,
pre,2,6,2015,12,40,PM,010204,NIKA,FLISS,S,H,AL,F,A,0,1,8,G-,,BL,,,TC1,TC,1,,,,,,
pre,2,6,2015,12,41,PM,010204,NIKA,FLISS,S,H,AL,F,A,0,1,9,G-,,BL,,,TC1,TC,1,,,,,,
pre,2,6,2015,12,42,PM,010204,NIKA,FLISS,S,H,AL,F,A,0,1,10,G-,C,BL,,,TC1,TC,1,,,,,WAS ALSO IN PHYSICAL CONTACT WITH AN INFANT,
pre,2,6,2015,12,43,PM,010204,NIKA,FLISS,S,H,AL,F,A,0,1,11,G-,C,BL,,,TC1,TC,1,,,,,WAS ALSO IN PHYSICAL CONTACT WITH ED,
pre,2,6,2015,12,44,PM,010204,NIKA,FLISS,S,H,AL,F,A,0,1,12,G-,,BL,,,TC1,TC,1,,,,,,
pre,2,6,2015,12,45,PM,010204,NIKA,FLISS,S,H,AL,F,A,0,1,13,G-,,BL,,,TC1,TC,1,,,,,,
pre,2,6,2015,12,46,PM,010204,NIKA,FLISS,S,H,AL,F,A,0,1,14,V,,,,,TC1,TC,1,,,,,,
pre,2,6,2015,12,47,PM,010204,NIKA,FLISS,S,H,AL,F,A,0,1,15,V,C,NY,,,TC1,TC,1,,,,,,
pre,2,6,2015,12,48,PM,010204,NIKA,FLISS,S,H,AL,F,A,0,1,16,OS,,,,,TC1,TC,1,,,,,,
pre,2,6,2015,12,49,PM,010204,NIKA,FLISS,S,H,AL,F,A,0,1,17,FO,,,,,TC1,TC,1,,,,,,
