obsid,DAY,MONTH,YEAR,date,hour,minute,,time,dayperiod,focal reference,observer1,observer2,weather,temp,FOCAL ID,sex,age,sampleperiod,focalmin,BEHAVIOUR,ASSOCIATION,conflict outcome,G.P.S. Location,,Notes,,,,
1,1,6,2015,1-Jun-15,6,49,:,6:49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,0,SC,,,,,,,,,
2,1,6,2015,1-Jun-15,6,49,:,6:49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,0,SG,,,,,,,,,
3,1,6,2015,1-Jun-15,6,49,:,6:49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,5,SG,,,,,,,,,
4,1,6,2015,1-Jun-15,6,49,:,6:49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,6,SC,,,,,,,,,
5,1,6,2015,1-Jun-15,6,49,:,6:49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,6,SC,,,,,,,,,
6,1,6,2015,1-Jun-15,6,49,:,6:49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,6,SG,,,,,,,,,
7,1,6,2015,1-Jun-15,6,49,:,6:49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,7,SC,,,,,,,,,
8,1,6,2015,1-Jun-15,6,49,:,6:49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,7,SG,,,,,,,,,
9,1,6,2015,1-Jun-15,6,49,:,6:49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,10,SG,,,,,,,,,
10,1,6,2015,1-Jun-15,6,49,:,6:49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,11,SC,,,,,,,,,
11,1,6,2015,1-Jun-15,6,49,:,6:49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,11,SG,,,,,,,,,
12,1,6,2015,1-Jun-15,6,49,:,6:49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,12,SG,,,,,,,,,
13,1,6,2015,1-Jun-15,6,49,:,6:49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,16,SG,,,,,,,,,
14,1,6,2015,1-Jun-15,6,49,:,6:49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,17,SC,,,,,,,,,
15,1,6,2015,1-Jun-15,6,49,:,6:49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,19,SG,,,,,,,,,
16,1,6,2015,1-Jun-15,7,16,:,7:16,AM,010102,NIKA,FLISS,SU,W,AL,F,A,1,3,SG,,,,,,,,,
17,1,6,2015,1-Jun-15,7,16,:,7:16,AM,010102,NIKA,FLISS,SU,W,AL,F,A,1,3,SC,,,,,,,,,
18,1,6,2015,1-Jun-15,7,16,:,7:16,AM,010102,NIKA,FLISS,SU,W,AL,F,A,1,4,SC,,,,,,,,,
19,1,6,2015,1-Jun-15,7,16,:,7:16,AM,010102,NIKA,FLISS,SU,W,AL,F,A,1,5,SC,,,,,,,,,
20,1,6,2015,1-Jun-15,7,47,:,7:47,AM,010103,NIKA,FLISS,SU,W,NY,M,SA,1,2,SC,,,,,,,,,
21,1,6,2015,1-Jun-15,7,47,:,7:47,AM,010103,NIKA,FLISS,SU,W,NY,M,SA,1,3,MP-,NE,2,,,,,,,
22,1,6,2015,1-Jun-15,7,47,:,7:47,AM,010103,NIKA,FLISS,SU,W,NY,M,SA,1,4,SC,,,,,,,,,
23,1,6,2015,1-Jun-15,7,47,:,7:47,AM,010103,NIKA,FLISS,SU,W,NY,M,SA,1,7,SC,,,,,,,,,
24,1,6,2015,1-Jun-15,7,47,:,7:47,AM,010103,NIKA,FLISS,SU,W,NY,M,SA,1,7,SC,,,,,,,,,
25,1,6,2015,1-Jun-15,7,47,:,7:47,AM,010103,NIKA,FLISS,SU,W,NY,M,SA,1,8,SC,,,,,,,,,
26,1,6,2015,1-Jun-15,7,47,:,7:47,AM,010103,NIKA,FLISS,SU,W,NY,M,SA,1,9,SC,,,,,,,,,
27,1,6,2015,1-Jun-15,7,47,:,7:47,AM,010103,NIKA,FLISS,SU,W,NY,M,SA,1,10,MP-,NE,2,,,,,,,
28,1,6,2015,1-Jun-15,7,47,:,7:47,AM,010103,NIKA,FLISS,SU,W,NY,M,SA,1,12,SC,,,,,,,,,
29,1,6,2015,1-Jun-15,7,47,:,7:47,AM,010103,NIKA,FLISS,SU,W,NY,M,SA,1,12,MP-,UK,2,,,,,,,
30,1,6,2015,1-Jun-15,7,47,:,7:47,AM,010103,NIKA,FLISS,SU,W,NY,M,SA,1,13,AH,,,,,,,,,
31,1,6,2015,1-Jun-15,7,47,:,7:47,AM,010103,NIKA,FLISS,SU,W,NY,M,SA,1,14,SG,,,,,,,,,
32,1,6,2015,1-Jun-15,7,47,:,7:47,AM,010103,NIKA,FLISS,SU,W,NY,M,SA,1,15,SC,,,,,,,,,
33,1,6,2015,1-Jun-15,7,47,:,7:47,AM,010103,NIKA,FLISS,SU,W,NY,M,SA,1,19,SC,,,,,,,,,
34,1,6,2015,1-Jun-15,12,34,:,12:34,PM,010104,NIKA,FLISS,C,H,KO,F,J,3,2,PL,TI,,,,,,,,
35,1,6,2015,1-Jun-15,12,34,:,12:34,PM,010104,NIKA,FLISS,C,H,KO,F,J,3,2,G+,TI,,,,,,,,
36,1,6,2015,1-Jun-15,12,34,:,12:34,PM,010104,NIKA,FLISS,C,H,KO,F,J,3,2,PL,I,,,,UNIDENTIFIED INFANT,,,,
37,1,6,2015,1-Jun-15,12,34,:,12:34,PM,010104,NIKA,FLISS,C,H,KO,F,J,3,3,PL,I,,,,UNIDENTIFIED INFANT,,,,
38,1,6,2015,1-Jun-15,12,34,:,12:34,PM,010104,NIKA,FLISS,C,H,KO,F,J,3,5,PL,I,,,,UNIDENTIFIED INFANT,,,,
39,1,6,2015,1-Jun-15,12,34,:,12:34,PM,010104,NIKA,FLISS,C,H,KO,F,J,3,6,PL,I,,,,UNIDENTIFIED INFANT,,,,
40,1,6,2015,1-Jun-15,12,34,:,12:34,PM,010104,NIKA,FLISS,C,H,KO,F,J,3,6,PL,NE,,,,SHE WAS PLAYING WITH NEVILLE AND INFANT AT THE SAME TIME,,,,
41,1,6,2015,1-Jun-15,12,34,:,12:34,PM,010104,NIKA,FLISS,C,H,KO,F,J,3,7,PL,UK,,,,ASSOCIATION UNKNOWN,,,,
42,1,6,2015,1-Jun-15,12,34,:,12:34,PM,010104,NIKA,FLISS,C,H,KO,F,J,3,8,PL,I,,,,SHE WAS PLAYING WITH NEVILLE AND 2 INFANTS AT THE SAME TIME,,,,
43,1,6,2015,1-Jun-15,12,34,:,12:34,PM,010104,NIKA,FLISS,C,H,KO,F,J,3,8,PL,I,,,,SHE WAS PLAYING WITH NEVILLE AND 2 INFANTS AT THE SAME TIME,,,,
44,1,6,2015,1-Jun-15,12,34,:,12:34,PM,010104,NIKA,FLISS,C,H,KO,F,J,3,8,PL,NE,,,,SHE WAS PLAYING WITH NEVILLE AND 2 INFANTS AT THE SAME TIME,,,,
45,1,6,2015,1-Jun-15,1,32,:,1:32,PM,010105,NIKA,FLISS,SU,H,MG,M,SA,3,0,SC,,,,,,,,,
46,1,6,2015,1-Jun-15,1,32,:,1:32,PM,010105,NIKA,FLISS,SU,H,MG,M,SA,3,2,SC,,,,,,,,,
47,1,6,2015,1-Jun-15,1,32,:,1:32,PM,010105,NIKA,FLISS,SU,H,MG,M,SA,3,3,SC,,,,,,,,,
48,1,6,2015,1-Jun-15,2,4,:,2:4,PM,010106,NIKA,FLISS,C,H,ED,F,J,3,3,SC,,,,,,,,,
49,1,6,2015,1-Jun-15,2,4,:,2:4,PM,010106,NIKA,FLISS,C,H,ED,F,J,3,3,PL,UK,,,,,,,,
50,1,6,2015,1-Jun-15,2,4,:,2:4,PM,010106,NIKA,FLISS,C,H,ED,F,J,3,4,PL,UK,,,,,,,,
51,1,6,2015,1-Jun-15,2,4,:,2:4,PM,010106,NIKA,FLISS,C,H,ED,F,J,3,4,G-,UK,,,,,,,,
52,1,6,2015,1-Jun-15,2,4,:,2:4,PM,010106,NIKA,FLISS,C,H,ED,F,J,3,5,G-,UK,,,,,,,,
53,1,6,2015,1-Jun-15,2,4,:,2:4,PM,010106,NIKA,FLISS,C,H,ED,F,J,3,6,G+,MA,,,,,,,,
54,1,6,2015,1-Jun-15,2,4,:,2:4,PM,010106,NIKA,FLISS,C,H,ED,F,J,3,7,G-,MA,,,,,,,,
55,1,6,2015,1-Jun-15,2,4,:,2:4,PM,010106,NIKA,FLISS,C,H,ED,F,J,3,8,G-,MA,,,,,,,,
56,1,6,2015,1-Jun-15,2,4,:,2:4,PM,010106,NIKA,FLISS,C,H,ED,F,J,3,9,MP-,AU,2,,,,,,,
57,1,6,2015,1-Jun-15,2,4,:,2:4,PM,010106,NIKA,FLISS,C,H,ED,F,J,3,9,G-,MA,,,,,,,,
58,1,6,2015,1-Jun-15,2,4,:,2:4,PM,010106,NIKA,FLISS,C,H,ED,F,J,3,9,PL,NE,,,,,,,,
59,1,6,2015,1-Jun-15,2,4,:,2:4,PM,010106,NIKA,FLISS,C,H,ED,F,J,3,10,PL,NE,,,,,,,,
60,1,6,2015,1-Jun-15,2,4,:,2:4,PM,010106,NIKA,FLISS,C,H,ED,F,J,3,11,SC,,,,,,,,,
61,1,6,2015,1-Jun-15,2,4,:,2:4,PM,010106,NIKA,FLISS,C,H,ED,F,J,3,17,SC,,,,,,,,,
62,2,6,2015,2-Jun-15,6,15,:,6:15,AM,010201,NIKA,FLISS,SU,H,ZI,M,A,1,1,SG,,,,,,,,,
63,2,6,2015,2-Jun-15,6,15,:,6:15,AM,010201,NIKA,FLISS,SU,H,ZI,M,A,1,2,SG,,,,,,,,,
64,2,6,2015,2-Jun-15,6,15,:,6:15,AM,010201,NIKA,FLISS,SU,H,ZI,M,A,1,3,SG,,,,,,,,,
65,2,6,2015,2-Jun-15,6,15,:,6:15,AM,010201,NIKA,FLISS,SU,H,ZI,M,A,1,6,SG,,,,,,,,,
66,2,6,2015,2-Jun-15,6,15,:,6:15,AM,010201,NIKA,FLISS,SU,H,ZI,M,A,1,6,SC,,,,,,,,,
67,2,6,2015,2-Jun-15,6,47,:,6:47,AM,010202,NIKA,JESSE,SU,C,BL,F,A,1,19,SC,,,,,,,,,
68,2,6,2015,2-Jun-15,7,8,:,7:8,AM,010203,NIKA,JESSE,SU,C,BT,M,A,1,0,SG,,,,,,,,,
69,2,6,2015,2-Jun-15,7,8,:,7:8,AM,010203,NIKA,JESSE,SU,C,BT,M,A,1,1,SC,,,,,,,,,
70,2,6,2015,2-Jun-15,7,8,:,7:8,AM,010203,NIKA,JESSE,SU,C,BT,M,A,1,1,TH+,ZI,1,,,,,,,
71,2,6,2015,2-Jun-15,7,8,:,7:8,AM,010203,NIKA,JESSE,SU,C,BT,M,A,1,1,SC,,,,,,,,,
72,2,6,2015,2-Jun-15,7,8,:,7:8,AM,010203,NIKA,JESSE,SU,C,BT,M,A,1,3,SG,,,,,,,,,
73,2,6,2015,2-Jun-15,7,8,:,7:8,AM,010203,NIKA,JESSE,SU,C,BT,M,A,1,3,SC,,,,,,,,,
74,2,6,2015,2-Jun-15,7,8,:,7:8,AM,010203,NIKA,JESSE,SU,C,BT,M,A,1,3,SC,,,,,,,,,
75,2,6,2015,2-Jun-15,7,8,:,7:8,AM,010203,NIKA,JESSE,SU,C,BT,M,A,1,5,SC,,,,,,,,,
76,2,6,2015,2-Jun-15,7,8,:,7:8,AM,010203,NIKA,JESSE,SU,C,BT,M,A,1,6,SG,,,,,,,,,
77,2,6,2015,2-Jun-15,7,8,:,7:8,AM,010203,NIKA,JESSE,SU,C,BT,M,A,1,6,SC,,,,,,,,,
78,2,6,2015,2-Jun-15,7,8,:,7:8,AM,010203,NIKA,JESSE,SU,C,BT,M,A,1,7,SG,,,,,,,,,
79,2,6,2015,2-Jun-15,7,8,:,7:8,AM,010203,NIKA,JESSE,SU,C,BT,M,A,1,8,SG,,,,,,,,,
80,2,6,2015,2-Jun-15,7,8,:,7:8,AM,010203,NIKA,JESSE,SU,C,BT,M,A,1,8,SC,,,,,,,,,
81,2,6,2015,2-Jun-15,7,8,:,7:8,AM,010203,NIKA,JESSE,SU,C,BT,M,A,1,9,SG,,,,,,,,,
82,2,6,2015,2-Jun-15,7,8,:,7:8,AM,010203,NIKA,JESSE,SU,C,BT,M,A,1,9,SC,,,,,,,,,
83,2,6,2015,2-Jun-15,7,8,:,7:8,AM,010203,NIKA,JESSE,SU,C,BT,M,A,1,10,TH+,ZI,1,,,,,,,
84,2,6,2015,2-Jun-15,7,8,:,7:8,AM,010203,NIKA,JESSE,SU,C,BT,M,A,1,11,SC,,,,,,,,,
85,2,6,2015,2-Jun-15,7,8,:,7:8,AM,010203,NIKA,JESSE,SU,C,BT,M,A,1,11,MP+,ZI,1,,,,,,,
86,2,6,2015,2-Jun-15,7,8,:,7:8,AM,010203,NIKA,JESSE,SU,C,BT,M,A,1,11,MP+,ZI,1,,,,,,,
87,2,6,2015,2-Jun-15,7,8,:,7:8,AM,010203,NIKA,JESSE,SU,C,BT,M,A,1,12,TH+,ZI,1,,,,,,,
88,2,6,2015,2-Jun-15,7,8,:,7:8,AM,010203,NIKA,JESSE,SU,C,BT,M,A,1,12,MP-,ZI,1,,,,,,,
89,2,6,2015,2-Jun-15,7,8,:,7:8,AM,010203,NIKA,JESSE,SU,C,BT,M,A,1,13,TH-,ZI,2,,,POPS AND BLUE CAME TO THE TREE AND BACKED UP ZIP (THEY WERE ALL THREATENING HIM),,,,
90,2,6,2015,2-Jun-15,7,8,:,7:8,AM,010203,NIKA,JESSE,SU,C,BT,M,A,1,14,TH-,ZI,2,,,,,,,
91,2,6,2015,2-Jun-15,12,33,:,12:33,PM,010204,NIKA,FLISS,SU,H,AL,F,A,3,0,G+,MG,,,,,,,,
92,2,6,2015,2-Jun-15,12,33,:,12:33,PM,010204,NIKA,FLISS,SU,H,AL,F,A,3,1,G+,MG,,,,,,,,
93,2,6,2015,2-Jun-15,12,33,:,12:33,PM,010204,NIKA,FLISS,SU,H,AL,F,A,3,1,SC,,,,,,,,,
94,2,6,2015,2-Jun-15,12,33,:,12:33,PM,010204,NIKA,FLISS,SU,H,AL,F,A,3,2,G+,MG,,,,,,,,
95,2,6,2015,2-Jun-15,12,33,:,12:33,PM,010204,NIKA,FLISS,SU,H,AL,F,A,3,3,SC,,,,,,,,,
96,2,6,2015,2-Jun-15,12,33,:,12:33,PM,010204,NIKA,FLISS,SU,H,AL,F,A,3,3,G-,BL,,,,,,,,
97,2,6,2015,2-Jun-15,12,33,:,12:33,PM,010204,NIKA,FLISS,SU,H,AL,F,A,3,4,G-,BL,,,,,,,,
98,2,6,2015,2-Jun-15,12,33,:,12:33,PM,010204,NIKA,FLISS,SU,H,AL,F,A,3,5,G-,BL,,,,,,,,
99,2,6,2015,2-Jun-15,12,33,:,12:33,PM,010204,NIKA,FLISS,SU,H,AL,F,A,3,6,G-,BL,,,,,,,,
100,2,6,2015,2-Jun-15,12,33,:,12:33,PM,010204,NIKA,FLISS,SU,H,AL,F,A,3,7,G-,BL,,,,,,,,
101,2,6,2015,2-Jun-15,12,33,:,12:33,PM,010204,NIKA,FLISS,SU,H,AL,F,A,3,8,G-,BL,,,,,,,,
102,2,6,2015,2-Jun-15,12,33,:,12:33,PM,010204,NIKA,FLISS,SU,H,AL,F,A,3,9,G-,BL,,,,,,,,
103,2,6,2015,2-Jun-15,12,33,:,12:33,PM,010204,NIKA,FLISS,SU,H,AL,F,A,3,10,G-,BL,,,,,,,,
104,2,6,2015,2-Jun-15,12,33,:,12:33,PM,010204,NIKA,FLISS,SU,H,AL,F,A,3,11,G-,BL,,,,,,,,
105,2,6,2015,2-Jun-15,12,33,:,12:33,PM,010204,NIKA,FLISS,SU,H,AL,F,A,3,12,G-,BL,,,,,,,,
106,2,6,2015,2-Jun-15,12,33,:,12:33,PM,010204,NIKA,FLISS,SU,H,AL,F,A,3,13,G-,BL,,,,,,,,
107,2,6,2015,2-Jun-15,12,33,:,12:33,PM,010204,NIKA,FLISS,SU,H,AL,F,A,3,14,SG,,,,,,,,,
108,2,6,2015,2-Jun-15,12,33,:,12:33,PM,010204,NIKA,FLISS,SU,H,AL,F,A,3,15,G-,NY,,,,,,,,
109,2,6,2015,2-Jun-15,1,0,:,1:0,PM,010205,NIKA,FLISS,SU,H,NE,M,J,3,0,PL,NY,,,,,,,,
110,2,6,2015,2-Jun-15,1,0,:,1:0,PM,010205,NIKA,FLISS,SU,H,NE,M,J,3,1,SC,,,,,,,,,
111,2,6,2015,2-Jun-15,1,0,:,1:0,PM,010205,NIKA,FLISS,SU,H,NE,M,J,3,2,SC,,,,,,,,,
112,2,6,2015,2-Jun-15,1,0,:,1:0,PM,010205,NIKA,FLISS,SU,H,NE,M,J,3,2,SC,,,,,,,,,
113,2,6,2015,2-Jun-15,1,0,:,1:0,PM,010205,NIKA,FLISS,SU,H,NE,M,J,3,2,PL,NY,,,,,,,,
114,2,6,2015,2-Jun-15,1,0,:,1:0,PM,010205,NIKA,FLISS,SU,H,NE,M,J,3,3,PL,NY,,,,,,,,
115,2,6,2015,2-Jun-15,1,0,:,1:0,PM,010205,NIKA,FLISS,SU,H,NE,M,J,3,4,PL,NY,,,,,,,,
116,2,6,2015,2-Jun-15,1,0,:,1:0,PM,010205,NIKA,FLISS,SU,H,NE,M,J,3,5,PL,NY,,,,,,,,
117,2,6,2015,2-Jun-15,1,0,:,1:0,PM,010205,NIKA,FLISS,SU,H,NE,M,J,3,6,PL,NY,,,,,,,,
118,2,6,2015,2-Jun-15,1,0,:,1:0,PM,010205,NIKA,FLISS,SU,H,NE,M,J,3,8,SC,,,,,,,,,
119,2,6,2015,2-Jun-15,1,0,:,1:0,PM,010205,NIKA,FLISS,SU,H,NE,M,J,3,8,SC,,,,,,,,,
120,2,6,2015,2-Jun-15,1,0,:,1:0,PM,010205,NIKA,FLISS,SU,H,NE,M,J,3,10,PL,UK,,,,,,,,
121,2,6,2015,2-Jun-15,1,0,:,1:0,PM,010205,NIKA,FLISS,SU,H,NE,M,J,3,11,PL,UK,,,,,,,,
122,2,6,2015,2-Jun-15,1,0,:,1:0,PM,010205,NIKA,FLISS,SU,H,NE,M,J,3,12,PL,UK,,,,,,,,
123,2,6,2015,2-Jun-15,1,0,:,1:0,PM,010205,NIKA,FLISS,SU,H,NE,M,J,3,13,PL,I,,,,PLAYING WITH INFANT,,,,
124,2,6,2015,2-Jun-15,1,0,:,1:0,PM,010205,NIKA,FLISS,SU,H,NE,M,J,3,13,PL,MA,,,,WAS ALSO PLAYING WITH AN INFANT,,,,
125,2,6,2015,2-Jun-15,1,0,:,1:0,PM,010205,NIKA,FLISS,SU,H,NE,M,J,3,13,PL,I,,,,ALSO PLAYING WITH MA AT THE SAME TIME,,,,
126,2,6,2015,2-Jun-15,1,0,:,1:0,PM,010205,NIKA,FLISS,SU,H,NE,M,J,3,14,SC,,,,,,,,,
127,2,6,2015,2-Jun-15,1,0,:,1:0,PM,010205,NIKA,FLISS,SU,H,NE,M,J,3,14,PL,MA,,,,WAS ALSO PLAYING WITH AN INFANT,,,,
128,2,6,2015,2-Jun-15,1,0,:,1:0,PM,010205,NIKA,FLISS,SU,H,NE,M,J,3,14,PL,I,,,,PLAYING WITH MA AND INFANT AT THE SAME TIME,,,,
129,2,6,2015,2-Jun-15,1,0,:,1:0,PM,010205,NIKA,FLISS,SU,H,NE,M,J,3,15,PL,MA,,,,,,,,
130,2,6,2015,2-Jun-15,1,0,:,1:0,PM,010205,NIKA,FLISS,SU,H,NE,M,J,3,16,SC,,,,,,,,,
131,2,6,2015,2-Jun-15,1,0,:,1:0,PM,010205,NIKA,FLISS,SU,H,NE,M,J,3,17,PL,MA,,,,WAS ALSO PLAYING WITH AN INFANT,,,,
132,2,6,2015,2-Jun-15,1,0,:,1:0,PM,010205,NIKA,FLISS,SU,H,NE,M,J,3,17,PL,I,,,,PLAYING WITH MA AT THE SAME TIME,,,,
133,2,6,2015,2-Jun-15,1,0,:,1:0,PM,010205,NIKA,FLISS,SU,H,NE,M,J,3,18,PL,I,,,,PLAYING WITH INFANT,,,,
134,2,6,2015,2-Jun-15,1,0,:,1:0,PM,010205,NIKA,FLISS,SU,H,NE,M,J,3,19,PL,I,,,,PLAYING WITH INFANT,,,,
135,2,6,2015,2-Jun-15,1,34,:,1:34,PM,010206,NIKA,FLISS,SU,H,AU,F,A,3,7,SC,,,,,,,,,
136,3,6,2015,3-Jun-15,6,14,:,6:14,AM,010301,NIKA,FLISS,C,C,ED,F,J,1,3,SG,,,,,,,,,
137,3,6,2015,3-Jun-15,6,14,:,6:14,AM,010301,NIKA,FLISS,C,C,ED,F,J,1,3,SC,,,,,,,,,
138,3,6,2015,3-Jun-15,6,14,:,6:14,AM,010301,NIKA,FLISS,C,C,ED,F,J,1,3,PL,I,,,,I = INFANT,,,,
139,3,6,2015,3-Jun-15,6,14,:,6:14,AM,010301,NIKA,FLISS,C,C,ED,F,J,1,4,PL,I,,,,I = INFANT,,,,
140,3,6,2015,3-Jun-15,6,14,:,6:14,AM,010301,NIKA,FLISS,C,C,ED,F,J,1,4,SC,,,,,,,,,
141,3,6,2015,3-Jun-15,6,14,:,6:14,AM,010301,NIKA,FLISS,C,C,ED,F,J,1,5,SC,,,,,,,,,
142,3,6,2015,3-Jun-15,6,44,:,6:44,AM,010302,NIKA,FLISS,C,C,NE,M,J,1,8,MP-,BA,2,,,,,,,
143,3,6,2015,3-Jun-15,6,44,:,6:44,AM,010302,NIKA,FLISS,C,C,NE,M,J,1,9,SC,,,,,,,,,
144,3,6,2015,3-Jun-15,6,44,:,6:44,AM,010302,NIKA,FLISS,C,C,NE,M,J,1,9,SC,,,,,,,,,
145,3,6,2015,3-Jun-15,6,44,:,6:44,AM,010302,NIKA,FLISS,C,C,NE,M,J,1,10,SC,,,,,,,,,
146,3,6,2015,3-Jun-15,6,44,:,6:44,AM,010302,NIKA,FLISS,C,C,NE,M,J,1,12,SC,,,,,,,,,
147,3,6,2015,3-Jun-15,6,44,:,6:44,AM,010302,NIKA,FLISS,C,C,NE,M,J,1,13,SC,,,,,,,,,
148,3,6,2015,3-Jun-15,6,44,:,6:44,AM,010302,NIKA,FLISS,C,C,NE,M,J,1,14,SC,,,,,,,,,
149,3,6,2015,3-Jun-15,6,44,:,6:44,AM,010302,NIKA,FLISS,C,C,NE,M,J,1,16,SC,,,,,,,,,
150,3,6,2015,3-Jun-15,6,44,:,6:44,AM,010302,NIKA,FLISS,C,C,NE,M,J,1,16,SC,,,,,,,,,
151,3,6,2015,3-Jun-15,6,44,:,6:44,AM,010302,NIKA,FLISS,C,C,NE,M,J,1,18,G-,BM,,,,,,,,
152,3,6,2015,3-Jun-15,7,18,:,7:18,AM,010303,NIKA,FLISS,C,C,BO,F,J,1,1,MP-,AM,2,,,,,,,
153,3,6,2015,3-Jun-15,7,18,:,7:18,AM,010303,NIKA,FLISS,C,C,BO,F,J,1,2,SC,,,,,,,,,
154,3,6,2015,3-Jun-15,7,18,:,7:18,AM,010303,NIKA,FLISS,C,C,BO,F,J,1,3,SC,,,,,,,,,
155,3,6,2015,3-Jun-15,7,18,:,7:18,AM,010303,NIKA,FLISS,C,C,BO,F,J,1,7,SC,,,,,,,,,
156,3,6,2015,3-Jun-15,7,18,:,7:18,AM,010303,NIKA,FLISS,C,C,BO,F,J,1,7,SG,,,,,,,,,
157,3,6,2015,3-Jun-15,7,18,:,7:18,AM,010303,NIKA,FLISS,C,C,BO,F,J,1,12,MP-,TO,2,,,,,,,
158,3,6,2015,3-Jun-15,7,18,:,7:18,AM,010303,NIKA,FLISS,C,C,BO,F,J,1,15,MP-,ZI,2,,,,,,,
159,3,6,2015,3-Jun-15,12,4,:,12:4,PM,010304,NIKA,JESSE,C,W,BA,M,SA,3,5,SC,,,,,,,,,
160,3,6,2015,3-Jun-15,12,4,:,12:4,PM,010304,NIKA,JESSE,C,W,BA,M,SA,3,5,SC,,,,,,,,,
161,3,6,2015,3-Jun-15,12,4,:,12:4,PM,010304,NIKA,JESSE,C,W,BA,M,SA,3,15,SC,,,,,,,,,
162,3,6,2015,3-Jun-15,12,33,:,12:33,PM,010305,NIKA,JESSE,C,W,TO,F,A,3,2,MP+,BO,1,,,,,,,
163,3,6,2015,3-Jun-15,12,33,:,12:33,PM,010305,NIKA,JESSE,C,W,TO,F,A,3,2,SC,,,,,,,,,
164,3,6,2015,3-Jun-15,12,33,:,12:33,PM,010305,NIKA,JESSE,C,W,TO,F,A,3,3,MP-,BL,2,,,,,,,
165,3,6,2015,3-Jun-15,12,33,:,12:33,PM,010305,NIKA,JESSE,C,W,TO,F,A,3,3,SC,,,,,,,,,
166,3,6,2015,3-Jun-15,12,33,:,12:33,PM,010305,NIKA,JESSE,C,W,TO,F,A,3,7,G-,I,,,,I = INFANT,,,,
167,3,6,2015,3-Jun-15,12,33,:,12:33,PM,010305,NIKA,JESSE,C,W,TO,F,A,3,12,SG,,,,,,,,,
168,3,6,2015,3-Jun-15,12,33,:,12:33,PM,010305,NIKA,JESSE,C,W,TO,F,A,3,13,SG,,,,,,,,,
169,3,6,2015,3-Jun-15,12,33,:,12:33,PM,010305,NIKA,JESSE,C,W,TO,F,A,3,14,SG,,,,,,,,,
170,3,6,2015,3-Jun-15,12,33,:,12:33,PM,010305,NIKA,JESSE,C,W,TO,F,A,3,14,G-,I,,,,I = INFANT,,,,
171,3,6,2015,3-Jun-15,12,33,:,12:33,PM,010305,NIKA,JESSE,C,W,TO,F,A,3,15,G-,I,,,,I = INFANT,,,,
172,3,6,2015,3-Jun-15,12,33,:,12:33,PM,010305,NIKA,JESSE,C,W,TO,F,A,3,16,G-,I,,,,I = INFANT,,,,
173,3,6,2015,3-Jun-15,12,33,:,12:33,PM,010305,NIKA,JESSE,C,W,TO,F,A,3,17,SC,,,,,,,,,
174,3,6,2015,3-Jun-15,12,33,:,12:33,PM,010305,NIKA,JESSE,C,W,TO,F,A,3,17,G-,I,,,,I = INFANT,,,,
175,3,6,2015,3-Jun-15,12,33,:,12:33,PM,010305,NIKA,JESSE,C,W,TO,F,A,3,18,G-,I,,,,I = INFANT,,,,
176,3,6,2015,3-Jun-15,12,33,:,12:33,PM,010305,NIKA,JESSE,C,W,TO,F,A,3,19,G-,I,,,,I = INFANT,,,,
177,3,6,2015,3-Jun-15,1,4,:,1:4,PM,010306,NIKA,JESSE,C,W,ZI,M,A,3,4,MP-,PO,2,,,,,,,
178,3,6,2015,3-Jun-15,1,4,:,1:4,PM,010306,NIKA,JESSE,C,W,ZI,M,A,3,5,MP-,UK,2,,,,,,,
179,3,6,2015,3-Jun-15,1,4,:,1:4,PM,010306,NIKA,JESSE,C,W,ZI,M,A,3,17,SC,,,,,,,,,
180,3,6,2015,3-Jun-15,1,4,:,1:4,PM,010306,NIKA,JESSE,C,W,ZI,M,A,3,17,SC,,,,,,,,,
181,3,6,2015,3-Jun-15,1,4,:,1:4,PM,010306,NIKA,JESSE,C,W,ZI,M,A,3,18,SC,,,,,,,,,
182,4,6,2015,4-Jun-15,6,4,:,6:4,AM,010401,NIKA,FLISS,C,C,MA,F,J,1,15,G+,TI,,,,,,,,
183,4,6,2015,4-Jun-15,6,4,:,6:4,AM,010401,NIKA,FLISS,C,C,MA,F,J,1,16,G+,TI,,,,,,,,
184,4,6,2015,4-Jun-15,6,4,:,6:4,AM,010401,NIKA,FLISS,C,C,MA,F,J,1,17,G+,TI,,,,,,,,
185,4,6,2015,4-Jun-15,6,33,:,6:33,AM,010402,NIKA,FLISS,C,C,JA,M,SA,1,0,SC,,,,,,,,,
186,4,6,2015,4-Jun-15,6,33,:,6:33,AM,010402,NIKA,FLISS,C,C,JA,M,SA,1,3,SC,,,,,,,,,
